a,w,x1_start,x2_start,x1_opt,x2_opt,f1_opt,f2_opt,f_opt,f_calls
10,0.21,7.01493414,-2.67073346,2.78246903,2.782467962,0.9463991043,6.687388382,5.481780633,191
10,0.22,9.354622056,-5.910415759,2.794556558,2.794555098,0.8441461594,6.715375448,5.423705004,191
10,0.23,-1.056478578,2.855288849,2.80563765,2.805637371,0.7555355489,6.74108538,5.364408919,191
10,0.24,0.2534256085,0.7026124237,2.815831871,2.815832391,0.6783560791,6.764780675,5.304038772,191
10,0.25,-8.881575539,2.65935307,2.825244083,2.82524273,0.6107973394,6.786692149,5.242718447,305
10,0.26,-1.709298227,1.728270218,2.833956569,2.833956565,0.5514084341,6.807009845,5.180553478,191
10,0.27,8.290892094,-9.428885756,2.842049637,2.842045903,0.4989781393,6.825904429,5.117634331,305
10,0.28,-5.878992274,-6.576377636,2.849582067,2.84958051,0.4525157754,6.84352025,5.054038997,191
10,0.29,2.214438111,-4.550180796,2.856613496,2.856612779,0.4111958478,6.859983488,4.989835072,191
10,0.3,-4.45176902,-9.225245677,2.863191467,2.863191312,0.374331919,6.875402654,4.925081433,305
10,0.31,-0.1711024484,-3.439431541,2.869358327,2.869358546,0.341344362,6.889873691,4.859829599,191
10,0.32,9.349012663,-2.858965068,2.875153162,2.875152161,0.311737158,6.903483759,4.794124847,191
10,0.33,-4.340715722,0.3315695796,2.880605644,2.880605336,0.2851009818,6.916304185,4.728007128,191
10,0.34,6.681337076,0.7646986147,2.885747422,2.885747056,0.2610738675,6.928404112,4.661511829,191
10,0.35,7.252737208,2.014231119,2.890603168,2.890602872,0.2393539856,6.939840787,4.594670407,191
10,0.36,1.843492497,4.267671338,2.895196307,2.895196748,0.2196753572,6.950668419,4.527510917,191
10,0.37,9.34349766,1.198114553,2.899548023,2.89954843,0.2018111763,6.960933855,4.460058464,191
10,0.38,8.357255588,-1.712980928,2.903676769,2.903677901,0.1855611151,6.970681216,4.392335577,191
10,0.39,-5.946596608,-1.389318812,2.907598953,2.907598289,0.1707602955,6.979944294,4.324362535,191
10,0.4,8.989631496,-4.828172147,2.911330058,2.911331462,0.157244682,6.988766271,4.256157635,191
10,0.41,-8.729965742,-2.719666731,2.914881182,2.914882023,0.1449028314,6.997164875,4.187737437,305
10,0.42,6.90009808,9.560926351,2.918271481,2.918272987,0.1335885542,7.005189248,4.119116956,191
10,0.43,-2.148552487,-8.978894203,2.921505693,2.921505786,0.1232269799,7.012846044,4.050309846,305
10,0.44,-7.015451294,-9.934114385,2.924596307,2.924596186,0.1137145202,7.020168137,3.981328546,305
10,0.45,-3.52907499,-1.467220314,2.927552133,2.927551286,0.1049750948,7.027173855,3.912184413,191
10,0.46,-9.159360062,6.299822562,2.93038356,2.930382042,0.09693108834,7.033888033,3.842887838,305
10,0.47,5.093348145,-9.810347408,2.933094521,2.933096357,0.08952440593,7.040324297,3.773448348,419
10,0.48,-6.559142515,-9.247367587,2.935696765,2.935696672,0.08269824117,7.046499106,3.703874691,305
10,0.49,0.5212221809,-9.877805449,2.938193495,2.938191122,0.07640381406,7.052425579,3.634174914,419
10,0.5,1.517331037,-2.22604062,2.940594284,2.940594908,0.07058004048,7.058132831,3.564356436,191
10,0.51,2.13642567,-6.639176475,2.942901671,2.942903166,0.06520267626,7.063617831,3.494426102,191
10,0.52,-7.958369282,1.479923321,2.945123767,2.945122206,0.06022973222,7.068897465,3.424390244,305
10,0.53,4.558938078,-9.601113703,2.947265481,2.947227101,0.0556590833,7.07394769,3.354254728,419
10,0.54,9.766942402,8.61234148,2.949320657,2.949321541,0.05136701945,7.078884309,3.284024972,191
10,0.55,-0.9904325153,8.756573889,2.951307757,2.95130622,0.04742018751,7.083610974,3.213706041,191
10,0.56,-6.215830676,0.2796017426,2.953224751,2.953225026,0.04375822109,7.088177315,3.143302622,191
10,0.57,-3.963092851,-9.315732605,2.955075502,2.955075343,0.04036435399,7.092584657,3.072819084,305
10,0.58,-0.1594719152,3.888354662,2.956864177,2.956864092,0.03721405733,7.096846064,3.0022595,191
10,0.59,-8.2946268,2.825076791,2.958592479,2.958592825,0.03429136955,7.100965278,2.931627672,305
10,0.6,3.954240286,-1.82370179,2.960264626,2.960265595,0.03157722881,7.104952038,2.860927152,191
10,0.61,-8.642143532,4.794880224,2.961882455,2.961883161,0.02905840669,7.108809323,2.790161264,305
10,0.62,-5.523879237,6.451204622,2.963449748,2.963450614,0.02671778536,7.112547612,2.71933312,191
10,0.63,4.984532825,-2.083021753,2.964967623,2.964968518,0.02454472186,7.116168816,2.648445637,191
10,0.64,7.203837036,-4.494245003,2.966439082,2.966437497,0.022527768,7.119677173,2.577501554,191
10,0.65,-1.960827202,-1.278831936,2.967865481,2.967866344,0.02065199137,7.12308471,2.506503443,191
10,0.66,3.279714376,-9.824401531,2.882683288,2.966560229,0.1488142918,7.020580363,2.485214756,191
10,0.67,2.081991598,5.321345094,2.970592667,2.970592897,0.01729568912,7.129595634,2.364354671,191
10,0.68,1.655521789,-3.359070333,2.971896745,2.971895894,0.01579633736,7.13270913,2.293208431,191
10,0.69,5.720231391,1.422464182,2.973164212,2.973163666,0.01440348337,7.135737489,2.222017025,191
10,0.7,-4.746728863,-5.270201124,2.974395319,2.974396994,0.01311113585,7.138681887,2.150782361,191
10,0.71,0.1790380712,-0.96255953,2.975592944,2.97559329,0.01191391865,7.14154262,2.079506242,191
10,0.72,5.009400619,6.21594522,2.976756526,2.976756663,0.01080511783,7.144323878,2.008190371,191
10,0.73,-0.2782921355,-5.150071296,2.977890926,2.977891334,0.009776042594,7.147036473,1.936836359,191
10,0.74,0.1042998815,1.427081065,2.978992504,2.978992652,0.008826235501,7.14967045,1.865445731,191
10,0.75,7.675005494,-5.941459842,2.980066445,2.980068256,0.007946210116,7.152241104,1.794019934,191
10,0.76,9.603379275,9.032861972,2.981112241,2.981113169,0.007134598114,7.154741838,1.722560336,191
10,0.77,8.853420382,-5.920499971,2.982131565,2.982129475,0.006386366228,7.157177112,1.651068238,191
10,0.78,5.484066585,3.837953198,2.983124456,2.983124235,0.005695754448,7.159555386,1.579544873,191
10,0.79,1.996478276,2.687903611,2.984093026,2.98409288,0.005060682898,7.161873694,1.507991415,191
10,0.8,9.343708194,-9.964348925,2.985038598,2.985035478,0.004477804746,7.164133669,1.436408978,305
10,0.81,-8.590928325,2.623422571,2.985959103,2.985958869,0.003943001395,7.166340997,1.364798621,305
10,0.82,-9.788750457,3.491063273,2.986859949,2.986858045,0.003453719207,7.16849613,1.293161353,305
10,0.83,-2.055232344,1.866771333,2.987735762,2.987735705,0.00300824455,7.170595843,1.221498136,191
10,0.84,-9.868007069,-6.335000953,2.988591063,2.988591017,0.002603287369,7.172644529,1.149809886,305
10,0.85,-6.710764485,-4.614735923,2.989430722,2.989431646,0.002233997325,7.174657182,1.078097475,191
10,0.86,-1.605202077,3.468273586,2.990248591,2.990248258,0.001901864532,7.176615237,1.006361737,191
10,0.87,4.422704547,-6.595801467,2.991048551,2.991046221,0.001602986041,7.178529756,0.9346034661,191
10,0.88,-0.3157812032,-5.855587598,2.991828414,2.991827854,0.00133558785,7.180400878,0.8628234226,191
10,0.89,-1.745872764,9.788518678,2.992593488,2.992594881,0.001096922013,7.182237013,0.791022332,191
10,0.9,5.571493476,-4.070867269,2.993339806,2.993341802,0.0008868978673,7.184026798,0.7192008879,191
10,0.91,-6.152941173,5.174872743,2.994071757,2.994072208,0.0007028278703,7.185779786,0.6473597541,191
10,0.92,-5.038005307,-7.299520791,2.994788321,2.994788629,0.0005431998622,7.187497772,0.5754995656,305
10,0.93,9.254372781,-9.553938731,2.995485897,2.995489454,0.0004072215767,7.189174493,0.5036209305,305
10,0.94,6.538432407,1.250851048,2.996172647,2.996172915,0.0002929520818,7.190817604,0.4317244312,191
10,0.95,3.13396488,5.882140601,2.996843904,2.996843506,0.0001992439774,7.192426884,0.359810626,191
10,0.96,1.286502123,4.543036555,2.997500965,2.997501336,0.0001248850018,7.194004009,0.28788005,191
10,0.97,-1.494436837,1.497751666,2.998144737,2.998144761,6.883912643e-05,7.195548086,0.2159332165,191
10,0.98,-1.965900181,6.450330818,2.998775801,2.998774876,2.999591046e-05,7.197061113,0.1439706182,191
10,0.99,-6.635477001,-1.833907241,2.999394183,2.999394599,7.335237573e-06,7.198546613,0.07199272801,191
