Lp.,x1,x2,x1*,x2*,y*,f_calls,,x1*,x2*,y*,f_calls
6,-0.325693,0.246851,2.9294e-05,0.774722,0.619837,241,,-0.000120615,0.774792,0.619838,129
7,0.365335,0.287436,0.77473,0.774702,1.23967,257,,0.774554,0.774716,1.23968,47
8,-0.373457,-0.019942,7.77744e-05,-7.86734e-05,3.897e-07,209,,-0.000118705,-1.31803e-05,4.5422e-07,67
9,0.923757,0.41351,0.774694,0.774741,1.23967,241,,0.774707,0.774759,1.23967,151
10,0.820192,0.394917,0.774664,0.774781,1.23967,225,,0.774736,0.774655,1.23967,133
11,-0.569348,0.657764,7.04092e-06,0.774658,0.619837,265,,5.03682e-06,0.774476,0.619839,89
12,0.517523,0.338198,0.774691,0.774663,1.23967,241,,0.774734,0.77479,1.23967,155
13,-0.0261252,0.176183,6.61817e-05,5.03165e-05,2.20088e-07,241,,5.21737e-05,0.00010912,4.65829e-07,83
14,0.267242,0.311022,0.774723,0.774733,1.23967,273,,0.774745,0.774777,1.23967,95
15,0.755796,0.250103,0.77478,0.774634,1.23967,225,,0.774728,0.7747,1.23967,139
16,-0.521651,0.515242,6.73852e-05,0.774695,0.619837,241,,7.19014e-06,0.774629,0.619837,183
17,0.0323283,0.75679,-1.54915e-05,0.77472,0.619837,225,,-2.75781e-05,0.77463,0.619837,111
18,-0.436775,-0.565445,4.14908e-05,4.37779e-05,1.15843e-07,289,,5.06474e-05,3.88819e-05,1.29821e-07,135
19,0.758313,0.536048,0.77466,0.774759,1.23967,273,,0.774883,0.774711,1.23968,119
20,-0.623236,0.663095,-0.77476,0.774716,1.23967,257,,-0.774661,0.774826,1.23967,113
21,-0.0174252,0.357872,-2.2842e-05,0.774649,0.619837,225,,1.22698e-05,0.774669,0.619837,151
22,-0.222452,-0.330181,8.68501e-05,-6.42923e-05,3.71807e-07,241,,0.000123744,-0.000114997,9.08689e-07,193
23,0.255635,-0.214843,0.774717,-3.866e-05,0.619837,241,,0.774658,1.79547e-05,0.619837,145
24,-0.39141,-0.129651,5.46216e-05,7.55014e-05,2.7652e-07,273,,-6.502e-05,-4.41402e-05,1.96658e-07,163
25,0.194972,-0.483649,3.10886e-05,-7.51775e-05,2.10739e-07,289,,-2.80686e-05,2.18517e-05,4.02917e-08,103
26,-0.928149,-0.153018,-0.774692,8.74167e-05,0.619837,225,,-0.774778,7.38034e-05,0.619837,107
27,-0.291628,-0.15166,-7.33342e-06,3.88027e-05,4.96561e-08,273,,8.51801e-05,3.78482e-05,2.76652e-07,129
28,0.494781,-0.341789,0.774801,-7.00372e-05,0.619838,209,,0.774711,5.51467e-05,0.619837,125
29,-0.198938,-0.941484,4.68595e-05,-0.774668,0.619837,241,,2.72554e-05,-0.774639,0.619837,155
