t,x1_sim,x2_sim,x1_exp,x2_exp
29.4,1.29995,2.1589,1.29995,2.1589
29.5,1.29306,2.14862,1.29306,2.14862
29.6,1.28588,2.13789,1.28588,2.13789
29.7,1.27847,2.12683,1.27847,2.12683
29.8,1.27093,2.11554,1.27093,2.11554
29.9,1.26333,2.10416,1.26333,2.10416
30,1.25574,2.09278,1.25574,2.09278
30.1,1.24824,2.08153,1.24824,2.08153
30.2,1.2409,2.07052,1.2409,2.07052
30.3,1.23379,2.05984,1.23379,2.05984
30.4,1.22697,2.0496,1.22697,2.0496
30.5,1.22052,2.03989,1.22052,2.03989
30.6,1.21448,2.03079,1.21448,2.03079
30.7,1.2089,2.02239,1.2089,2.02239
30.8,1.20384,2.01475,1.20384,2.01475
30.9,1.19934,2.00794,1.19934,2.00794
31,1.19542,2.002,1.19542,2.002
31.1,1.19211,1.99698,1.19211,1.99698
31.2,1.18945,1.99291,1.18945,1.99291
31.3,1.18743,1.98982,1.18743,1.98982
31.4,1.18607,1.98771,1.18607,1.98771
31.5,1.18537,1.98658,1.18537,1.98658
31.6,1.18532,1.98644,1.18532,1.98644
31.7,1.18592,1.98726,1.18592,1.98726
31.8,1.18713,1.98901,1.18713,1.98901
31.9,1.18895,1.99166,1.18895,1.99166
32,1.19133,1.99517,1.19133,1.99517
32.1,1.19425,1.99948,1.19425,1.99948
32.2,1.19767,2.00455,1.19767,2.00455
32.3,1.20154,2.01029,1.20154,2.01029
32.4,1.20581,2.01665,1.20581,2.01665
32.5,1.21044,2.02354,1.21044,2.02354
32.6,1.21537,2.0309,1.21537,2.0309
32.7,1.22055,2.03863,1.22055,2.03863
32.8,1.22592,2.04666,1.22592,2.04666
32.9,1.23143,2.0549,1.23143,2.0549
33,1.23702,2.06326,1.23702,2.06326
33.1,1.24263,2.07166,1.24263,2.07166
33.2,1.2482,2.08001,1.2482,2.08001
33.3,1.25369,2.08824,1.25369,2.08824
33.4,1.25903,2.09626,1.25903,2.09626
33.5,1.26418,2.104,1.26418,2.104
33.6,1.2691,2.11139,1.2691,2.11139
33.7,1.27373,2.11836,1.27373,2.11836
33.8,1.27803,2.12485,1.27803,2.12485
33.9,1.28198,2.1308,1.28198,2.1308
34,1.28554,2.13617,1.28554,2.13617
34.1,1.28867,2.14092,1.28867,2.14092
34.2,1.29136,2.145,1.29136,2.145
34.3,1.29359,2.1484,1.29359,2.1484
34.4,1.29535,2.15108,1.29535,2.15108
34.5,1.29663,2.15305,1.29663,2.15305
34.6,1.29742,2.15428,1.29742,2.15428
34.7,1.29772,2.1548,1.29772,2.1548
34.8,1.29755,2.15459,1.29755,2.15459
34.9,1.29691,2.15368,1.29691,2.15368
35,1.29582,2.1521,1.29582,2.1521
35.1,1.29429,2.14986,1.29429,2.14986
35.2,1.29236,2.14701,1.29236,2.14701
35.3,1.29004,2.14358,1.29004,2.14358
35.4,1.28737,2.13962,1.28737,2.13962
35.5,1.28438,2.13518,1.28438,2.13518
35.6,1.28111,2.13032,1.28111,2.13032
35.7,1.2776,2.12508,1.2776,2.12508
35.8,1.27388,2.11952,1.27388,2.11952
35.9,1.26999,2.11372,1.26999,2.11372
36,1.26598,2.10773,1.26598,2.10773
36.1,1.26189,2.1016,1.26189,2.1016
36.2,1.25776,2.09542,1.25776,2.09542
36.3,1.25363,2.08923,1.25363,2.08923
36.4,1.24954,2.08311,1.24954,2.08311
36.5,1.24554,2.0771,1.24554,2.0771
36.6,1.24166,2.07127,1.24166,2.07127
36.7,1.23793,2.06567,1.23793,2.06567
36.8,1.2344,2.06036,1.2344,2.06036
36.9,1.23109,2.05537,1.23109,2.05537
37,1.22802,2.05075,1.22802,2.05075
37.1,1.22524,2.04655,1.22524,2.04655
37.2,1.22275,2.04279,1.22275,2.04279
37.3,1.22058,2.0395,1.22058,2.0395
37.4,1.21874,2.03671,1.21874,2.03671
37.5,1.21725,2.03443,1.21725,2.03443
37.6,1.21611,2.03269,1.21611,2.03269
37.7,1.21533,2.03147,1.21533,2.03147
37.8,1.2149,2.0308,1.2149,2.0308
37.9,1.21483,2.03065,1.21483,2.03065
38,1.21511,2.03103,1.21511,2.03103
38.1,1.21573,2.03192,1.21573,2.03192
38.2,1.21668,2.0333,1.21668,2.0333
38.3,1.21794,2.03515,1.21794,2.03515
38.4,1.21949,2.03745,1.21949,2.03745
38.5,1.22131,2.04015,1.22131,2.04015
38.6,1.22339,2.04323,1.22339,2.04323
38.7,1.22568,2.04664,1.22568,2.04664
38.8,1.22818,2.05036,1.22818,2.05036
38.9,1.23084,2.05433,1.23084,2.05433
39,1.23364,2.05851,1.23364,2.05851
39.1,1.23655,2.06285,1.23655,2.06285
39.2,1.23953,2.06732,1.23953,2.06732
39.3,1.24257,2.07186,1.24257,2.07186
39.4,1.24562,2.07642,1.24562,2.07642
39.5,1.24865,2.08097,1.24865,2.08097
39.6,1.25164,2.08545,1.25164,2.08545
39.7,1.25455,2.08983,1.25455,2.08983
39.8,1.25737,2.09406,1.25737,2.09406
39.9,1.26006,2.0981,1.26006,2.0981
40,1.26259,2.10191,1.26259,2.10191
40.1,1.26496,2.10548,1.26496,2.10548
40.2,1.26713,2.10875,1.26713,2.10875
40.3,1.26909,2.11171,1.26909,2.11171
40.4,1.27082,2.11433,1.27082,2.11433
40.5,1.27231,2.11659,1.27231,2.11659
40.6,1.27356,2.11849,1.27356,2.11849
40.7,1.27454,2.12,1.27454,2.12
40.8,1.27527,2.12111,1.27527,2.12111
40.9,1.27573,2.12183,1.27573,2.12183
41,1.27593,2.12216,1.27593,2.12216
41.1,1.27587,2.1221,1.27587,2.1221
41.2,1.27555,2.12165,1.27555,2.12165
41.3,1.27499,2.12083,1.27499,2.12083
41.4,1.27419,2.11966,1.27419,2.11966
41.5,1.27316,2.11815,1.27316,2.11815
41.6,1.27193,2.11633,1.27193,2.11633
41.7,1.2705,2.11421,1.2705,2.11421
41.8,1.2689,2.11183,1.2689,2.11183
41.9,1.26714,2.10921,1.26714,2.10921
42,1.26524,2.10638,1.26524,2.10638
42.1,1.26323,2.10339,1.26323,2.10339
42.2,1.26113,2.10025,1.26113,2.10025
42.3,1.25896,2.097,1.25896,2.097
42.4,1.25674,2.09368,1.25674,2.09368
42.5,1.2545,2.09032,1.2545,2.09032
42.6,1.25225,2.08696,1.25225,2.08696
42.7,1.25003,2.08362,1.25003,2.08362
42.8,1.24784,2.08035,1.24784,2.08035
42.9,1.24572,2.07717,1.24572,2.07717
43,1.24369,2.07411,1.24369,2.07411
43.1,1.24175,2.07119,1.24175,2.07119
43.2,1.23994,2.06846,1.23994,2.06846
43.3,1.23825,2.06593,1.23825,2.06593
43.4,1.23672,2.06361,1.23672,2.06361
43.5,1.23535,2.06154,1.23535,2.06154
43.6,1.23415,2.05972,1.23415,2.05972
43.7,1.23313,2.05817,1.23313,2.05817
43.8,1.23229,2.05689,1.23229,2.05689
43.9,1.23165,2.05591,1.23165,2.05591
44,1.2312,2.05521,1.2312,2.05521
44.1,1.23094,2.05481,1.23094,2.05481
44.2,1.23088,2.05469,1.23088,2.05469
44.3,1.23101,2.05487,1.23101,2.05487
44.4,1.23132,2.05532,1.23132,2.05532
44.5,1.23182,2.05603,1.23182,2.05603
44.6,1.23248,2.05701,1.23248,2.05701
44.7,1.2333,2.05823,1.2333,2.05823
44.8,1.23428,2.05967,1.23428,2.05967
44.9,1.23539,2.06132,1.23539,2.06132
45,1.23662,2.06315,1.23662,2.06315
45.1,1.23797,2.06515,1.23797,2.06515
45.2,1.2394,2.06729,1.2394,2.06729
45.3,1.24092,2.06955,1.24092,2.06955
45.4,1.24249,2.0719,1.24249,2.0719
45.5,1.24411,2.07433,1.24411,2.07433
45.6,1.24575,2.07679,1.24575,2.07679
45.7,1.24741,2.07927,1.24741,2.07927
45.8,1.24906,2.08174,1.24906,2.08174
45.9,1.25069,2.08418,1.25069,2.08418
46,1.25228,2.08657,1.25228,2.08657
46.1,1.25382,2.08888,1.25382,2.08888
46.2,1.25529,2.09109,1.25529,2.09109
46.3,1.25668,2.09318,1.25668,2.09318
46.4,1.25797,2.09514,1.25797,2.09514
46.5,1.25917,2.09693,1.25917,2.09693
46.6,1.26025,2.09857,1.26025,2.09857
46.7,1.26121,2.10001,1.26121,2.10001
46.8,1.26203,2.10127,1.26203,2.10127
46.9,1.26273,2.10232,1.26273,2.10232
47,1.26328,2.10317,1.26328,2.10317
47.1,1.26369,2.1038,1.26369,2.1038
47.2,1.26396,2.10422,1.26396,2.10422
47.3,1.26409,2.10443,1.26409,2.10443
47.4,1.26407,2.10442,1.26407,2.10442
47.5,1.26392,2.1042,1.26392,2.1042
47.6,1.26363,2.10378,1.26363,2.10378
47.7,1.26321,2.10317,1.26321,2.10317
47.8,1.26266,2.10237,1.26266,2.10237
47.9,1.26201,2.1014,1.26201,2.1014
48,1.26124,2.10027,1.26124,2.10027
48.1,1.26038,2.09899,1.26038,2.09899
48.2,1.25944,2.09758,1.25944,2.09758
48.3,1.25842,2.09606,1.25842,2.09606
48.4,1.25733,2.09444,1.25733,2.09444
48.5,1.25619,2.09274,1.25619,2.09274
48.6,1.25502,2.09098,1.25502,2.09098
48.7,1.25381,2.08918,1.25381,2.08918
48.8,1.25259,2.08736,1.25259,2.08736
48.9,1.25137,2.08553,1.25137,2.08553
49,1.25016,2.08371,1.25016,2.08371
49.1,1.24897,2.08193,1.24897,2.08193
49.2,1.24782,2.08019,1.24782,2.08019
49.3,1.2467,2.07852,1.2467,2.07852
49.4,1.24564,2.07693,1.24564,2.07693
49.5,1.24465,2.07543,1.24465,2.07543
49.6,1.24373,2.07404,1.24373,2.07404
49.7,1.24288,2.07276,1.24288,2.07276
49.8,1.24212,2.07162,1.24212,2.07162
49.9,1.24146,2.07061,1.24146,2.07061
50,1.24089,2.06975,1.24089,2.06975
50.1,1.24043,2.06904,1.24043,2.06904
50.2,1.24006,2.06849,1.24006,2.06849
50.3,1.2398,2.06809,1.2398,2.06809
50.4,1.23965,2.06785,1.23965,2.06785
50.5,1.23961,2.06777,1.23961,2.06777
50.6,1.23966,2.06784,1.23966,2.06784
50.7,1.23982,2.06807,1.23982,2.06807
50.8,1.24008,2.06844,1.24008,2.06844
50.9,1.24043,2.06895,1.24043,2.06895
51,1.24087,2.0696,1.24087,2.0696
51.1,1.24138,2.07037,1.24138,2.07037
51.2,1.24198,2.07125,1.24198,2.07125
51.3,1.24264,2.07224,1.24264,2.07224
51.4,1.24337,2.07331,1.24337,2.07331
51.5,1.24414,2.07447,1.24414,2.07447
51.6,1.24496,2.07569,1.24496,2.07569
51.7,1.24581,2.07696,1.24581,2.07696
51.8,1.24669,2.07827,1.24669,2.07827
51.9,1.24758,2.07961,1.24758,2.07961
52,1.24848,2.08096,1.24848,2.08096
52.1,1.24938,2.0823,1.24938,2.0823
52.2,1.25027,2.08363,1.25027,2.08363
52.3,1.25113,2.08493,1.25113,2.08493
52.4,1.25197,2.0862,1.25197,2.0862
52.5,1.25278,2.0874,1.25278,2.0874
52.6,1.25354,2.08855,1.25354,2.08855
52.7,1.25425,2.08962,1.25425,2.08962
52.8,1.25491,2.09061,1.25491,2.09061
52.9,1.2555,2.09151,1.2555,2.09151
53,1.25603,2.09231,1.25603,2.09231
53.1,1.25649,2.093,1.25649,2.093
53.2,1.25687,2.09359,1.25687,2.09359
53.3,1.25719,2.09406,1.25719,2.09406
53.4,1.25742,2.09442,1.25742,2.09442
53.5,1.25757,2.09466,1.25757,2.09466
53.6,1.25765,2.09479,1.25765,2.09479
53.7,1.25765,2.0948,1.25765,2.0948
53.8,1.25758,2.09469,1.25758,2.09469
53.9,1.25743,2.09448,1.25743,2.09448
54,1.25721,2.09416,1.25721,2.09416
54.1,1.25692,2.09374,1.25692,2.09374
54.2,1.25657,2.09322,1.25657,2.09322
54.3,1.25617,2.09262,1.25617,2.09262
54.4,1.2557,2.09193,1.2557,2.09193
54.5,1.2552,2.09117,1.2552,2.09117
54.6,1.25465,2.09035,1.25465,2.09035
