Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,H_calls,Minimum globalne [TAK/NIE]
,57,"0,0737888","-0,313758","2,29E-04","-5,52E-04","2,84E-07",77,77,TAK,"3,00E-04","-4,98E-04","2,78E-07",22,22,TAK,"1,27E-04","-5,42E-04","2,57E-07",125,125,124,TAK
,58,"0,854552","0,433633","2,37E-04","-5,71E-04","3,03E-07",62,62,TAK,"2,64E-04","-2,46E-04","1,35E-07",24,24,TAK,"1,07E+00","-5,35E-01","8,77E-01",153,153,152,NIE
,59,"0,811689","1,00131","-2,23E-04","5,38E-04","2,69E-07",83,83,TAK,"-1,65E-05","3,00E-04","8,55E-08",25,25,TAK,"1,07E+00","-5,35E-01","8,77E-01",161,161,160,NIE
,60,"0,964119","0,0164268","2,41E-04","-5,81E-04","3,14E-07",87,87,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",142,142,141,NIE
,61,"-1,50671","1,71185","-1,75E+00","8,74E-01","2,99E-01",75,75,NIE,"-1,75E+00","8,74E-01","2,99E-01",24,24,NIE,"-1,75E+00","8,74E-01","2,99E-01",156,156,155,NIE
,62,"0,859417","1,6115","-2,38E-04","5,75E-04","3,07E-07",91,91,TAK,"-1,66E-04","4,51E-04","1,84E-07",26,26,TAK,"1,07E+00","-5,35E-01","8,77E-01",167,167,166,NIE
,63,"1,04742","-1,12529","1,75E+00","-8,73E-01","2,99E-01",66,66,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,36E-01","8,77E-01",141,141,140,NIE
,64,"0,163249","-1,74891","2,39E-04","-5,76E-04","3,09E-07",97,97,TAK,"3,07E-04","-3,48E-04","2,03E-07",27,27,TAK,"4,30E-05","-4,76E-04","2,10E-07",161,161,160,TAK
,65,"0,369297","-1,27642","2,24E-04","-5,41E-04","2,72E-07",95,95,TAK,"2,79E-04","-4,86E-04","2,56E-07",26,26,TAK,"1,39E-04","-5,67E-04","2,81E-07",151,151,150,TAK
,66,"1,36799","-1,76227","1,75E+00","-8,74E-01","2,99E-01",75,75,NIE,"1,75E+00","-8,74E-01","2,99E-01",23,23,NIE,"1,07E+00","-5,36E-01","8,77E-01",158,158,157,NIE
,67,"-1,80286","-1,86275","-1,75E+00","8,73E-01","2,99E-01",88,88,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",173,173,172,NIE
,68,"0,834213","-0,619111","2,34E-04","-5,65E-04","2,96E-07",93,93,TAK,"1,31E-04","2,34E-04","1,20E-07",24,24,TAK,"1,07E+00","-5,35E-01","8,77E-01",131,131,130,NIE
,69,"1,73825","0,242549","1,75E+00","-8,73E-01","2,99E-01",78,78,NIE,"1,75E+00","-8,73E-01","2,99E-01",24,24,NIE,"1,75E+00","-8,73E-01","2,99E-01",154,154,153,NIE
,70,"-0,320211","0,204568","-2,30E-04","5,56E-04","2,87E-07",77,77,TAK,"-2,66E-04","3,04E-04","1,53E-07",22,22,TAK,"-2,88E-04","1,90E-04","1,48E-07",135,135,134,TAK
,71,"0,577078","-0,108654","2,27E-04","-5,48E-04","2,79E-07",79,79,TAK,"3,12E-04","-3,63E-04","2,13E-07",22,22,TAK,"1,07E+00","-5,35E-01","8,77E-01",123,123,122,NIE
,72,"0,676412","0,0479695","2,31E-04","-5,58E-04","2,89E-07",76,76,TAK,"2,69E-04","-2,73E-04","1,46E-07",23,23,TAK,"1,07E+00","-5,35E-01","8,77E-01",147,147,146,NIE
